*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
ASTR,Kleopatra,2,59 km,2.794 AU,0.251,13.099°,179.099°,215.672°,55.259°,4.234 g/cm3,,,,,,,,,,,,132,6
*,☾,Cleoselene,3 km,380 km,?,?,,,,?,,,,,,,,,,,,133,6
*,☾,Alexhelios,4 km,775 km,?,?,,,,?,,,,,,,,,,,,134,6
ASTR,Eleonora,0,83 km,2.798 AU,0.115,18.403°,5.522°,140.37°,123.762°,3.504 g/cm3,,,,,,,,,,,,135,6
ASTR,Aline,0,55 km,2.804 AU,0.156,13.399°,150.489°,235.904°,53.204°,6.29 g/cm3,,,,,,,,,,,,136,6
ASTR,Hispania,0,61 km,2.838 AU,0.14,15.395°,344.626°,347.611°,277.552°,2.93 g/cm3,,,,,,,,,,,,137,6
ASTR,Terpsichore,0,61 km,2.855 AU,0.211,7.809°,50.234°,1.497°,149.581°,6.54 g/cm3,,,,,,,,,,,,138,6
ASTR,Ida,1,16 km,2.861 AU,0.041,1.132°,110.961°,324.016°,38.707°,2.6 g/cm3,,,,,,,,,,,,139,6
*,☾,Dactyl,1 km,90 km,?,?,,,,?,,,,,,,,,,,,140,6
ASTR,Antigone,0,57 km,2.87 AU,0.212,12.262°,111.076°,135.703°,97.354°,2.96 g/cm3,,,,,,,,,,,,141,6
ASTR,Aglaja,0,68 km,2.878 AU,0.135,4.985°,314.589°,3.244°,225.007°,2.17 g/cm3,,,,,,,,,,,,142,6
ASTR,Papagena,0,74 km,2.888 AU,0.232,14.976°,314.13°,83.999°,46.684°,3.079 g/cm3,,,,,,,,,,,,143,6
ASTR,Hippo,0,64 km,2.889 AU,0.104,19.477°,222.319°,311.419°,247.692°,?,,,,,,,,,,,,144,6
ASTR,Siegena,0,87 km,2.896 AU,0.171,20.257°,219.478°,166.886°,66.751°,3.14 g/cm3,,,,,,,,,,,,145,6
ASTR,Hypatia,0,73 km,2.908 AU,0.088,12.413°,210.75°,183.89°,170°,2.99 g/cm3,,,,,,,,,,,,146,6
ASTR,Kalliope,1,75 km,2.911 AU,0.102,13.703°,355.03°,66.17°,282.54°,3.028 g/cm3,,,,,,,,,,,,147,6
*,☾,Linus,14 km,"1,099 km",0.005,?,,,,3.4 g/cm3,,,,,,,,,,,,148,6
ASTR,Psyche,0,112 km,2.92 AU,0.134,3.096°,229.41°,150.03°,243.16°,3.977 g/cm3,,,,,,,,,,,,149,6
ASTR,Erminia,0,65 km,2.922 AU,0.048,25.045°,101.355°,2.895°,348.734°,3.401 g/cm3,,,,,,,,,,,,150,6
ASTR,Dembowska,0,75 km,2.924 AU,0.092,8.246°,346.225°,32.351°,306.898°,2.23 g/cm3,,,,,,,,,,,,151,6
ASTR,Scheila,0,57 km,2.928 AU,0.164,14.661°,175.16°,70.606°,21.266°,2.25 g/cm3,,,,,,,,,,,,152,6
ASTR,Bebericia,0,76 km,2.93 AU,0.165,18.237°,307.132°,79.729°,235.69°,1.686 g/cm3,,,,,,,,,,,,153,6
ASTR,Hesperia,0,55 km,2.982 AU,0.165,8.859°,290.124°,185.18°,60.81°,4.38 g/cm3,,,,,,,,,,,,154,6
ASTR,Nuwa,0,74 km,2.984 AU,0.131,2.194°,151.969°,206.492°,92.018°,0.98 g/cm3,,,,,,,,,,,,155,6
ASTR,Virtus,0,43 km,2.986 AU,0.064,7.087°,218.055°,38.21°,143.315°,?,,,,,,,,,,,,156,6
ASTR,Leukothea,0,52 km,2.99 AU,0.228,7.938°,213.962°,353.817°,77.469°,1.769 g/cm3,,,,,,,,,,,,157,6
ASTR,Lomia,0,74 km,2.992 AU,0.028,14.902°,52.461°,348.79°,317.47°,3.67 g/cm3,,,,,,,,,,,,158,6
ASTR,Tanete,0,59 km,3.001 AU,0.092,28.854°,146.061°,63.832°,163.71°,?,,,,,,,,,,,,159,6
ASTR,Winchester,0,85 km,3.001 AU,0.34,18.165°,275.511°,130.081°,59.047°,1.47 g/cm3,,,,,,,,,,,,160,6
ASTR,Carlova,0,58 km,3.003 AU,0.178,11.697°,287.862°,132.551°,350.473°,?,,,,,,,,,,,,161,6
ASTR,Charybdis,0,63 km,3.005 AU,0.065,6.446°,333.004°,354.285°,10.993°,?,,,,,,,,,,,,162,6
ASTR,Marion,0,52 km,3.039 AU,0.148,17.008°,146.177°,312.95°,178.097°,?,,,,,,,,,,,,163,6
ASTR,Isolda,0,72 km,3.042 AU,0.161,3.886°,173.522°,263.644°,260.142°,2.54 g/cm3,,,,,,,,,,,,164,6
ASTR,Armida,0,53 km,3.046 AU,0.041,3.877°,107.727°,268.633°,52.051°,?,,,,,,,,,,,,165,6
ASTR,Emma,1,74 km,3.047 AU,0.148,7.992°,53.702°,304.369°,127.107°,0.81 g/cm3,,,,,,,,,,,,166,6
*,☾,S/2003 (283) 1,5 km,581 km,0.12,?,,,,?,,,,,,,,,,,,167,6
ASTR,Germania,0,85 km,3.049 AU,0.102,5.505°,80.636°,270.362°,277.959°,2.357 g/cm3,,,,,,,,,,,,168,6
ASTR,Aegle,0,85 km,3.052 AU,0.14,15.963°,208.97°,321.6°,29.93°,2.61 g/cm3,,,,,,,,,,,,169,6
ASTR,Interamnia,0,166 km,3.056 AU,0.149,17.285°,95.654°,280.422°,204.093°,1.92 g/cm3,,,,,,,,,,,,170,6
ASTR,Patientia,0,127 km,3.062 AU,0.076,15.236°,337.06°,89.252°,279.3°,1.6 g/cm3,,,,,,,,,,,,171,6
ASTR,Arethusa,0,68 km,3.065 AU,0.153,12.996°,154.196°,243.038°,250.185°,?,,,,,,,,,,,,172,6
ASTR,Diotima,0,88 km,3.068 AU,0.038,11.23°,200.103°,69.471°,237.495°,1.462 g/cm3,,,,,,,,,,,,173,6
ASTR,Gerlinde,0,50 km,3.069 AU,0.146,17.82°,310.954°,232.869°,135.977°,?,,,,,,,,,,,,174,6
ASTR,Marianna,0,63 km,3.084 AU,0.25,15.107°,45.906°,331.497°,235.763°,9.29 g/cm3,,,,,,,,,,,,175,6
ASTR,Adorea,0,71 km,3.092 AU,0.137,2.44°,69.574°,120.914°,302.257°,1.565 g/cm3,,,,,,,,,,,,176,6
ASTR,Europa,0,160 km,3.095 AU,0.102,7.467°,343.365°,129.011°,52.86°,1.455 g/cm3,,,,,,,,,,,,177,6
ASTR,Pales,0,75 km,3.101 AU,0.225,3.17°,111.146°,285.646°,169.53°,?,,,,,,,,,,,,178,6
ASTR,Aemilia,0,63 km,3.103 AU,0.108,6.131°,333.387°,134.132°,214.036°,1.4 g/cm3,,,,,,,,,,,,179,6
ASTR,Ornamenta,0,50 km,3.109 AU,0.159,24.894°,338.34°,90.106°,177.109°,?,,,,,,,,,,,,180,6
ASTR,Doris,0,108 km,3.11 AU,0.075,6.554°,257.583°,183.754°,336.191°,1.72 g/cm3,,,,,,,,,,,,181,6
ASTR,Gudrun,0,62 km,3.111 AU,0.106,16.116°,103.924°,352.328°,325.246°,3.27 g/cm3,,,,,,,,,,,,182,6
ASTR,Semele,0,60 km,3.114 AU,0.208,4.822°,307.886°,86.452°,264.875°,?,,,,,,,,,,,,183,6
ASTR,Armenia,0,47 km,3.114 AU,0.097,19.085°,214.403°,144.857°,346.438°,?,,,,,,,,,,,,184,6
ASTR,Medea,0,68 km,3.116 AU,0.105,4.264°,100.91°,313.478°,28.128°,8.41 g/cm3,,,,,,,,,,,,185,6
ASTR,Lachesis,0,78 km,3.118 AU,0.053,6.964°,232.822°,341.193°,56.21°,?,,,,,,,,,,,,186,6
ASTR,Philomela,0,68 km,3.118 AU,0.018,7.255°,195.69°,72.384°,276.49°,2.48 g/cm3,,,,,,,,,,,,187,6
ASTR,Adelheid,0,61 km,3.118 AU,0.073,21.645°,268.356°,211.299°,204.741°,?,,,,,,,,,,,,188,6
ASTR,Ani,0,50 km,3.122 AU,0.193,16.381°,201.49°,129.81°,33.057°,?,,,,,,,,,,,,189,6
ASTR,Erato,0,48 km,3.122 AU,0.178,2.223°,273.285°,125.738°,161.828°,1.38 g/cm3,,,,,,,,,,,,190,6
ASTR,Josephina,0,50 km,3.123 AU,0.062,6.873°,64.101°,344.002°,357.173°,?,,,,,,,,,,,,191,6
ASTR,Ursula,0,101 km,3.124 AU,0.107,15.931°,344.677°,336.679°,121.102°,2.29 g/cm3,,,,,,,,,,,,192,6
